model,alpha_ann,t_stat,p_value,stars,r_squared,n_obs,beta_MKTRF,beta_SMB,beta_HML,beta_RMW,beta_CMA,ml_model,strategy,factor_model,beta_UMD,beta_QMJ
logistic_Static 60/40_FF6_NET,0.0179293137134674,1.3985211468577912,0.16195662692541946,,0.9548033978046522,370,1.08473956979467,0.6517685311280955,-0.0601475118798466,0.20696186843695907,-0.025169870182150226,logistic,Static 60/40,FF6,-0.15053802525649437,
logistic_Static 60/40_FF7_NET,0.016103547391578935,1.1689240184634642,0.24243424554067605,,0.9550709229151777,370,1.0867735325078738,0.6605292545148812,-0.059142707700360606,0.166550102514621,-0.01709059388616326,logistic,Static 60/40,FF7,-0.1661638633627678,0.062182069340499045
random_forest_Regime-Switching_FF5_NET,0.010046810977859364,0.7617969397614963,0.44618120714291976,,0.9375213801734834,370,1.1374825773551922,0.6647797080989891,0.0003137014760352662,0.16154193087871677,-0.08321250566929723,random_forest,Regime-Switching,FF5,,
random_forest_Regime-Switching_FF6_NET,0.023094453062578093,1.616751613577718,0.10593190780119653,,0.9482868699239845,370,1.1037836969973724,0.6682466817573806,-0.10200842138084243,0.17955670721939998,-0.005374687943706401,random_forest,Regime-Switching,FF6,-0.14585091644145284,
random_forest_Regime-Switching_FF7_NET,0.020275267791429838,1.3251130406125518,0.18513366153165878,,0.9488923752473408,370,1.106924360539245,0.6817742082762718,-0.10045689251910592,0.11715646798638961,0.0071006088465412325,random_forest,Regime-Switching,FF7,-0.16997893989683918,0.09601599718031584
random_forest_Buy&Hold Offensive_FF5_NET,0.007944972439592064,0.5940261111905227,0.5524946488826132,,0.9383093837810206,370,1.1512008269616743,0.6684443665160488,0.01509218796068462,0.1268038411736494,-0.14725935861743503,random_forest,Buy&Hold Offensive,FF5,,
random_forest_Buy&Hold Offensive_FF6_NET,0.022443535586687473,1.5374480654730347,0.12418362365474975,,0.9510488449058274,370,1.1137545710265515,0.6722968738264982,-0.09860833738732243,0.1468218927618436,-0.060765836784221615,random_forest,Buy&Hold Offensive,FF6,-0.16206979838638869,
random_forest_Buy&Hold Offensive_FF7_NET,0.02028353971782229,1.299822945494382,0.19366165931787416,,0.9513894945802126,370,1.1161608762613873,0.6826613580964013,-0.09741959113283814,0.0990122435206816,-0.051207547087703795,random_forest,Buy&Hold Offensive,FF7,-0.1805561431899243,0.07356528120973736
random_forest_Buy&Hold Defensive_FF5_NET,-0.0007088791251697822,-0.06561586072419767,0.9476836612949929,,0.9371872597979363,370,1.0722063838083007,0.6175016951602587,0.09095390091892949,0.28021880196444243,-0.042653883231692634,random_forest,Buy&Hold Defensive,FF5,,
random_forest_Buy&Hold Defensive_FF6_NET,0.011207370186586385,1.0119437355120715,0.3115649561792889,,0.9479409100812939,370,1.0414296153114755,0.6206680391021323,-0.0024956218495350113,0.2966714732423068,0.028434428041613568,random_forest,Buy&Hold Defensive,FF6,-0.1332038288128697,
random_forest_Buy&Hold Defensive_FF7_NET,0.009877837908068685,0.824573056209763,0.40961402350508924,,0.9481021882287637,370,1.0429107572561391,0.6270476422234367,-0.0017639183592255314,0.26724342071362844,0.03431779794158111,random_forest,Buy&Hold Defensive,FF7,-0.14458264322745729,0.045281297689656996
random_forest_Static 60/40_FF5_NET,0.0044623686876159524,0.3747237667098487,0.7078659148047628,,0.9427221627255922,370,1.119521407483413,0.6481901417639114,0.04546286542011348,0.18836816383824656,-0.10550910737432136,random_forest,Static 60/40,FF5,,
random_forest_Static 60/40_FF6_NET,0.0179293137134674,1.3985211468577912,0.16195662692541946,,0.9548033978046522,370,1.08473956979467,0.6517685311280955,-0.0601475118798466,0.20696186843695907,-0.025169870182150226,random_forest,Static 60/40,FF6,-0.15053802525649437,
