model_gross,alpha_ann_gross,t_stat_gross,p_value_gross,stars_gross,r_squared_gross,n_obs_gross,beta_MKTRF_gross,beta_SMB_gross,beta_MGMT_gross,beta_PERF_gross,ml_model,strategy,factor_model,beta_R_MKT_gross,beta_R_ME_gross,beta_R_IA_gross,beta_R_ROE_gross,beta_R_EG_gross,model_net,alpha_ann_net,t_stat_net,p_value_net,stars_net,r_squared_net,n_obs_net,beta_MKTRF_net,beta_SMB_net,beta_MGMT_net,beta_PERF_net,beta_R_MKT_net,beta_R_ME_net,beta_R_IA_net,beta_R_ROE_net,beta_R_EG_net,alpha_diff,cost_drag_pct
xgboost_Buy&Hold Defensive_M4,0.019817190710405788,1.4091788230037148,0.15878229799612553,,0.9160971336599106,306,1.0282964632740907,0.5762672776307024,0.01491531498168539,-0.06283213747627803,xgboost,Buy&Hold Defensive,M4,,,,,,xgboost_Buy&Hold Defensive_M4_NET,0.013138250120002649,0.9322239200235919,0.35122081610480116,,0.9161971186918996,306,1.0253289088266369,0.5742890880313041,0.011859534532573329,-0.06393301421095642,,,,,,0.006678940590403139,33.70276184956983
xgboost_Buy&Hold Defensive_Q5,0.024684524960982005,1.3920091497003013,0.16391962727897447,,0.9056676361906766,306,,,,,xgboost,Buy&Hold Defensive,Q5,1.041879215163819,0.4758710700083606,0.07869135482819196,-0.012136182380007729,-0.0067075632878688335,xgboost_Buy&Hold Defensive_Q5_NET,0.018469897761926625,1.0468883399541444,0.29515108023789227,,0.9056005096562736,306,,,,,1.0384797852375938,0.4730127582735907,0.07540926260571308,-0.013610022079612028,-0.01274681046878007,0.00621462719905538,25.176207396652888
xgboost_Static 60/40_M4,0.02825588467978956,1.716116962923593,0.0861406371486756,*,0.9351052639662407,306,1.0558816576339958,0.6075854255633062,-0.14201930650799516,-0.07317273669116904,xgboost,Static 60/40,M4,,,,,,xgboost_Static 60/40_M4_NET,0.021690677319292462,1.3189634777292154,0.18718132270278265,,0.9352218189770963,306,1.0533973395267497,0.6049795107419011,-0.14502075059515226,-0.07459675805803785,,,,,,0.0065652073604970974,23.234832088598377
xgboost_Static 60/40_Q5,0.02877869455469666,1.4829882913294754,0.1380775216406733,,0.9266658618355491,306,,,,,xgboost,Static 60/40,Q5,1.0858756178547084,0.5178889342847209,-0.12461374477289582,-0.08666985325482927,0.024399993812370725,xgboost_Static 60/40_Q5_NET,0.022700495306041527,1.1751973230382669,0.23991578098267363,,0.9267727251448373,306,,,,,1.082918686489019,0.5145860409709592,-0.12765382119767676,-0.08839084780157361,0.017791636058749696,0.006078199248655134,21.120482852698323
lstm_expanding_Regime-Switching_M4,0.021269761368614696,1.638115407503597,0.10139762148985411,,0.9325029692103993,306,1.0895529384098543,0.6644339101383806,-0.09445159444592337,-0.023076679517871613,lstm_expanding,Regime-Switching,M4,,,,,,lstm_expanding_Regime-Switching_M4_NET,0.014704554008117612,1.1215649647350747,0.2620474550647832,,0.9321797202367949,306,1.087068620302608,0.6618279953169761,-0.09745303853308046,-0.024500700884740375,,,,,,0.0065652073604970836,30.866389362433534
lstm_expanding_Regime-Switching_Q5,0.020595916419103757,1.430461183427776,0.1525846988740027,,0.9302344353814754,306,,,,,lstm_expanding,Regime-Switching,Q5,1.1081874862903718,0.5877411086635659,-0.11582450262681386,-0.0783977622239405,0.1301866032415088,lstm_expanding_Regime-Switching_Q5_NET,0.014517717170448644,1.0059884965298176,0.31442110369897613,,0.9298356496568725,306,,,,,1.105230554924683,0.5844382153498042,-0.11886457905159467,-0.08011875677068489,0.12357824548788787,0.006078199248655113,29.511671755558666
lstm_expanding_Buy&Hold Offensive_M4,0.0338816766629444,1.8233407556822794,0.06825179720652816,*,0.937207514603907,306,1.0742717330678007,0.6284641595348281,-0.24664237762643512,-0.0800664650885101,lstm_expanding,Buy&Hold Offensive,M4,,,,,,lstm_expanding_Buy&Hold Offensive_M4_NET,0.02743020253235337,1.4826068312745082,0.13817890109907457,,0.937372037284444,306,1.0722706513007625,0.6252305194914173,-0.24958948535163714,-0.08181363108756923,,,,,,0.00645147413059103,19.041189120510253
lstm_expanding_Buy&Hold Offensive_Q5,0.03150813799452365,1.4877437405438303,0.13681848753158732,,0.930574980648633,306,,,,,lstm_expanding,Buy&Hold Offensive,Q5,1.115206495418516,0.5459008162992797,-0.2601504642362228,-0.1363589578031031,0.0451383501985519,lstm_expanding_Buy&Hold Offensive_Q5_NET,0.02556636669626878,1.2139370682251278,0.22477175648664816,,0.9308503960538379,306,,,,,1.1126920626133634,0.5421533414065263,-0.26294852486330555,-0.13832710719698763,0.0379608818722214,0.005941771298254871,18.857894107508336
lstm_expanding_Buy&Hold Defensive_M4,0.019817190710405788,1.4091788230037148,0.15878229799612553,,0.9160971336599106,306,1.0282964632740907,0.5762672776307024,0.01491531498168539,-0.06283213747627803,lstm_expanding,Buy&Hold Defensive,M4,,,,,,lstm_expanding_Buy&Hold Defensive_M4_NET,0.013138250120002649,0.9322239200235919,0.35122081610480116,,0.9161971186918996,306,1.0253289088266369,0.5742890880313041,0.011859534532573329,-0.06393301421095642,,,,,,0.006678940590403139,33.70276184956983
lstm_expanding_Buy&Hold Defensive_Q5,0.024684524960982005,1.3920091497003013,0.16391962727897447,,0.9056676361906766,306,,,,,lstm_expanding,Buy&Hold Defensive,Q5,1.041879215163819,0.4758710700083606,0.07869135482819196,-0.012136182380007729,-0.0067075632878688335,lstm_expanding_Buy&Hold Defensive_Q5_NET,0.018469897761926625,1.0468883399541444,0.29515108023789227,,0.9056005096562736,306,,,,,1.0384797852375938,0.4730127582735907,0.07540926260571308,-0.013610022079612028,-0.01274681046878007,0.00621462719905538,25.176207396652888
lstm_expanding_Static 60/40_M4,0.02825588467978956,1.716116962923593,0.0861406371486756,*,0.9351052639662407,306,1.0558816576339958,0.6075854255633062,-0.14201930650799516,-0.07317273669116904,lstm_expanding,Static 60/40,M4,,,,,,lstm_expanding_Static 60/40_M4_NET,0.021690677319292462,1.3189634777292154,0.18718132270278265,,0.9352218189770963,306,1.0533973395267497,0.6049795107419011,-0.14502075059515226,-0.07459675805803785,,,,,,0.0065652073604970974,23.234832088598377
lstm_expanding_Static 60/40_Q5,0.02877869455469666,1.4829882913294754,0.1380775216406733,,0.9266658618355491,306,,,,,lstm_expanding,Static 60/40,Q5,1.0858756178547084,0.5178889342847209,-0.12461374477289582,-0.08666985325482927,0.024399993812370725,lstm_expanding_Static 60/40_Q5_NET,0.022700495306041527,1.1751973230382669,0.23991578098267363,,0.9267727251448373,306,,,,,1.082918686489019,0.5145860409709592,-0.12765382119767676,-0.08839084780157361,0.017791636058749696,0.006078199248655134,21.120482852698323
lstm_rolling_10y_Regime-Switching_M4,0.0216045576408081,1.5843286044206115,0.11311895969095458,,0.9310602052822586,306,1.0747206069234783,0.6444323995043648,-0.08241994282534666,-0.017836121411704337,lstm_rolling_10y,Regime-Switching,M4,,,,,,lstm_rolling_10y_Regime-Switching_M4_NET,0.015039350280311014,1.1021843871444306,0.2703815181843531,,0.9308344196982494,306,1.0722362888162322,0.6418264846829603,-0.08542138691250378,-0.01926014277857308,,,,,,0.006565207360497087,30.3880665813601
lstm_rolling_10y_Regime-Switching_Q5,0.022211648952926065,1.443130412183715,0.14898373769408899,,0.9290792132377992,306,,,,,lstm_rolling_10y,Regime-Switching,Q5,1.0914543064428937,0.5651302558504047,-0.08479417320983171,-0.09902856422199594,0.13392883808318498,lstm_rolling_10y_Regime-Switching_Q5_NET,0.016133449704270938,1.054480612826008,0.2916629321371833,,0.9287910318900084,306,,,,,1.0884973750772053,0.5618273625366429,-0.08783424963461253,-0.10074955876874052,0.12732048032956397,0.006078199248655127,27.364916767489305
lstm_rolling_10y_Buy&Hold Offensive_M4,0.0338816766629444,1.8233407556822794,0.06825179720652816,*,0.937207514603907,306,1.0742717330678007,0.6284641595348281,-0.24664237762643512,-0.0800664650885101,lstm_rolling_10y,Buy&Hold Offensive,M4,,,,,,lstm_rolling_10y_Buy&Hold Offensive_M4_NET,0.02743020253235337,1.4826068312745082,0.13817890109907457,,0.937372037284444,306,1.0722706513007625,0.6252305194914173,-0.24958948535163714,-0.08181363108756923,,,,,,0.00645147413059103,19.041189120510253
