model_gross,alpha_ann_gross,t_stat_gross,p_value_gross,stars_gross,r_squared_gross,n_obs_gross,beta_MKTRF_gross,beta_SMB_gross,beta_HML_gross,beta_RMW_gross,beta_CMA_gross,ml_model,strategy,factor_model,beta_UMD_gross,beta_QMJ_gross,model_net,alpha_ann_net,t_stat_net,p_value_net,stars_net,r_squared_net,n_obs_net,beta_MKTRF_net,beta_SMB_net,beta_HML_net,beta_RMW_net,beta_CMA_net,beta_UMD_net,beta_QMJ_net,alpha_diff,cost_drag_pct
random_forest_Buy&Hold Offensive_FF7,0.025918108060983505,1.6575420693983598,0.0974099307902766,*,0.9512888948747789,370,1.1173163672243476,0.68629700847214,-0.09857470622681085,0.09708759904756206,-0.04647276044455041,random_forest,Buy&Hold Offensive,FF7,-0.18156182208587116,0.0797209657878353,random_forest_Buy&Hold Offensive_FF7_NET,0.02028353971782229,1.299822945494382,0.19366165931787416,,0.9513894945802126,370,1.1161608762613873,0.6826613580964013,-0.09741959113283814,0.0990122435206816,-0.051207547087703795,-0.1805561431899243,0.07356528120973736,0.005634568343161214,21.739890619729906
random_forest_Buy&Hold Defensive_FF5,0.005365493353083336,0.4967202882709558,0.6193863134023374,,0.9369470378713592,370,1.073852250272925,0.6190547070133271,0.08905971741789434,0.2803782445411333,-0.03751073576744824,random_forest,Buy&Hold Defensive,FF5,,,random_forest_Buy&Hold Defensive_FF5_NET,-0.0007088791251697822,-0.06561586072419767,0.9476836612949929,,0.9371872597979363,370,1.0722063838083007,0.6175016951602587,0.09095390091892949,0.28021880196444243,-0.042653883231692634,,,0.006074372478253118,113.21181629574507
random_forest_Buy&Hold Defensive_FF6,0.017220260129309533,1.5537335257879892,0.12024799257316363,,0.9475596942547801,370,1.0432342761847346,0.6222047140316594,-0.003907647462332659,0.2967460273679476,0.033210791502831724,random_forest,Buy&Hold Defensive,FF6,-0.1325165564234249,,random_forest_Buy&Hold Defensive_FF6_NET,0.011207370186586385,1.0119437355120715,0.3115649561792889,,0.9479409100812939,370,1.0414296153114755,0.6206680391021323,-0.0024956218495350113,0.2966714732423068,0.028434428041613568,-0.1332038288128697,,0.006012889942723148,34.917532589934474
random_forest_Buy&Hold Defensive_FF7,0.015689544972895052,1.3068358544441956,0.19126846525174046,,0.9477728651195731,370,1.0449395423600143,0.6295496693572871,-0.0030652236711123547,0.2628649650144671,0.03998442432257504,random_forest,Buy&Hold Defensive,FF7,-0.14561719637619164,0.05213319736243772,random_forest_Buy&Hold Defensive_FF7_NET,0.009877837908068685,0.824573056209763,0.40961402350508924,,0.9481021882287637,370,1.0429107572561391,0.6270476422234367,-0.0017639183592255314,0.26724342071362844,0.03431779794158111,-0.14458264322745729,0.045281297689656996,0.0058117070648263675,37.04190959563555
random_forest_Static 60/40_FF5,0.010431416788128874,0.8820241265579856,0.3777637603869477,,0.9426546706763183,370,1.1207588891731655,0.6503572733080463,0.04369864312701327,0.18951925749039022,-0.10082563011296411,random_forest,Static 60/40,FF5,,,random_forest_Static 60/40_FF5_NET,0.0044623686876159524,0.3747237667098487,0.7078659148047628,,0.9427221627255922,370,1.119521407483413,0.6481901417639114,0.04546286542011348,0.18836816383824656,-0.10550910737432136,,,0.005969048100512921,57.22183497936538
random_forest_Static 60/40_FF6,0.023843413293659736,1.8650539863693314,0.06217383735464027,*,0.954613264041662,370,1.086118970123828,0.6539210619442761,-0.06148081729075919,0.20803709510122853,-0.020814197200005397,random_forest,Static 60/40,FF6,-0.14992379227908595,,random_forest_Static 60/40_FF6_NET,0.0179293137134674,1.3985211468577912,0.16195662692541946,,0.9548033978046522,370,1.08473956979467,0.6517685311280955,-0.0601475118798466,0.20696186843695907,-0.025169870182150226,-0.15053802525649437,,0.005914099580192338,24.803913379989815
random_forest_Static 60/40_FF7,0.02182668509557271,1.5843254520047778,0.11311967669892033,,0.9549390174623071,370,1.0883656705412912,0.6635980932696757,-0.060370917903290425,0.16339855242848048,-0.011889887374089464,random_forest,Static 60/40,FF7,-0.16718397938510843,0.06868586146593852,random_forest_Static 60/40_FF7_NET,0.016103547391578935,1.1689240184634642,0.24243424554067605,,0.9550709229151777,370,1.0867735325078738,0.6605292545148812,-0.059142707700360606,0.166550102514621,-0.01709059388616326,-0.1661638633627678,0.062182069340499045,0.005723137703993776,26.220828673405144
xgboost_Regime-Switching_FF5,0.013299240659801047,0.9589524884253524,0.3375826807255071,,0.9346848489729415,370,1.1390662060316454,0.6564683856907781,0.010661148415573531,0.12632621475162967,-0.12525806703447648,xgboost,Regime-Switching,FF5,,,xgboost_Regime-Switching_FF5_NET,0.007330192559288132,0.5286511990128226,0.5970474363757067,,0.935006330780073,370,1.1378287243418932,0.6543012541466434,0.012425370708673665,0.12517512109948603,-0.12994154429583377,,,0.005969048100512915,44.88262340086273
xgboost_Regime-Switching_FF6,0.027790221975230324,1.8399302088900444,0.06577848426209605,*,0.9477242302336729,370,1.1016395321203507,0.6603188783835291,-0.10297991874786759,0.1463337981647441,-0.03880977584350667,xgboost,Regime-Switching,FF6,-0.1619850461307987,,xgboost_Regime-Switching_FF6_NET,0.02187612239503798,1.4520009132608342,0.14650135130584022,,0.9481737758212923,370,1.1002601317911924,0.658166347567348,-0.10164661333695493,0.14525857150047466,-0.04316544882565138,-0.16259927910820712,,0.005914099580192345,21.281224689258096
xgboost_Regime-Switching_FF7,0.024572504793892537,1.4993805128189488,0.1337749460873724,,0.9484987957138187,370,1.1052241730954975,0.6757587130571528,-0.10120905922797575,0.07511239815441768,-0.024570918527143607,xgboost,Regime-Switching,FF7,-0.18952390865915797,0.10958922316041482,xgboost_Regime-Switching_FF7_NET,0.018849367089898744,1.155019625962265,0.2480823896097235,,0.9488606452233147,370,1.1036320350620794,0.6726898743023582,-0.09998084902504599,0.07826394824055813,-0.029771625039217153,-0.1885037926368174,0.10308543103497551,0.0057231377039937935,23.290819360899146
