model,alpha_ann,t_stat,p_value,stars,r_squared,n_obs,beta_MKTRF,beta_SMB,beta_HML,beta_RMW,beta_CMA,ml_model,strategy,factor_model,beta_UMD,beta_QMJ
xgboost_Static 60/40_FF5,0.010431416788128874,0.8820241265579856,0.3777637603869477,,0.9426546706763183,370,1.1207588891731655,0.6503572733080463,0.04369864312701327,0.18951925749039022,-0.10082563011296411,xgboost,Static 60/40,FF5,,
xgboost_Static 60/40_FF6,0.023843413293659736,1.8650539863693314,0.06217383735464027,*,0.954613264041662,370,1.086118970123828,0.6539210619442761,-0.06148081729075919,0.20803709510122853,-0.020814197200005397,xgboost,Static 60/40,FF6,-0.14992379227908595,
xgboost_Static 60/40_FF7,0.02182668509557271,1.5843254520047778,0.11311967669892033,,0.9549390174623071,370,1.0883656705412912,0.6635980932696757,-0.060370917903290425,0.16339855242848048,-0.011889887374089464,xgboost,Static 60/40,FF7,-0.16718397938510843,0.06868586146593852
lstm_expanding_Regime-Switching_FF5,0.012320378602899447,1.0993304372900765,0.27162396071822137,,0.9452665373681417,370,1.1277987557418812,0.6964254964899023,0.019950774152272786,0.2215142692672708,-0.05222667641227507,lstm_expanding,Regime-Switching,FF5,,
lstm_expanding_Regime-Switching_FF6,0.023498616635681417,2.003890799113561,0.045081759373861316,**,0.9534246227015365,370,1.0989280905571623,0.6993957386650976,-0.06771112198858932,0.23694797420307173,0.014458909292746795,lstm_expanding,Regime-Switching,FF6,-0.12495409137497973,
lstm_expanding_Regime-Switching_FF7,0.020531483766831636,1.6036615751045082,0.10878867004124076,,0.9541171175295035,370,1.1022335725063126,0.713633174203378,-0.06607817067824391,0.17127304224765585,0.02758889529750706,lstm_expanding,Regime-Switching,FF7,-0.1503483257261343,0.10105480618274275
lstm_expanding_Buy&Hold Offensive_FF5,0.013808696162364806,1.0387518339911073,0.29892016750049777,,0.9382531608127459,370,1.1520299238765546,0.6712256177512499,0.013457926875519336,0.12894658590124572,-0.1430355515589649,lstm_expanding,Buy&Hold Offensive,FF5,,
lstm_expanding_Buy&Hold Offensive_FF6,0.02825884480434901,1.9365116104630498,0.052805071936682504,*,0.9508894283991313,370,1.114708710811609,0.6750652605293329,-0.09986292259635021,0.14889779196474187,-0.056830854281150214,lstm_expanding,Buy&Hold Offensive,FF6,-0.16152860482101664,
lstm_expanding_Buy&Hold Offensive_FF7,0.025918108060983505,1.6575420693983598,0.0974099307902766,*,0.9512888948747789,370,1.1173163672243476,0.68629700847214,-0.09857470622681085,0.09708759904756206,-0.04647276044455041,lstm_expanding,Buy&Hold Offensive,FF7,-0.18156182208587116,0.0797209657878353
lstm_expanding_Buy&Hold Defensive_FF5,0.005365493353083336,0.4967202882709558,0.6193863134023374,,0.9369470378713592,370,1.073852250272925,0.6190547070133271,0.08905971741789434,0.2803782445411333,-0.03751073576744824,lstm_expanding,Buy&Hold Defensive,FF5,,
lstm_expanding_Buy&Hold Defensive_FF6,0.017220260129309533,1.5537335257879892,0.12024799257316363,,0.9475596942547801,370,1.0432342761847346,0.6222047140316594,-0.003907647462332659,0.2967460273679476,0.033210791502831724,lstm_expanding,Buy&Hold Defensive,FF6,-0.1325165564234249,
lstm_expanding_Buy&Hold Defensive_FF7,0.015689544972895052,1.3068358544441956,0.19126846525174046,,0.9477728651195731,370,1.0449395423600143,0.6295496693572871,-0.0030652236711123547,0.2628649650144671,0.03998442432257504,lstm_expanding,Buy&Hold Defensive,FF7,-0.14561719637619164,0.05213319736243772
lstm_expanding_Static 60/40_FF5,0.010431416788128874,0.8820241265579856,0.3777637603869477,,0.9426546706763183,370,1.1207588891731655,0.6503572733080463,0.04369864312701327,0.18951925749039022,-0.10082563011296411,lstm_expanding,Static 60/40,FF5,,
lstm_expanding_Static 60/40_FF6,0.023843413293659736,1.8650539863693314,0.06217383735464027,*,0.954613264041662,370,1.086118970123828,0.6539210619442761,-0.06148081729075919,0.20803709510122853,-0.020814197200005397,lstm_expanding,Static 60/40,FF6,-0.14992379227908595,
lstm_expanding_Static 60/40_FF7,0.02182668509557271,1.5843254520047778,0.11311967669892033,,0.9549390174623071,370,1.0883656705412912,0.6635980932696757,-0.060370917903290425,0.16339855242848048,-0.011889887374089464,lstm_expanding,Static 60/40,FF7,-0.16718397938510843,0.06868586146593852
lstm_rolling_10y_Regime-Switching_FF5,0.013119596000031514,1.1709854358080114,0.24160463137057442,,0.9450518614734202,370,1.114964874930309,0.6815446353772076,0.00631281318960561,0.21506419252462472,-0.013644359856451106,lstm_rolling_10y,Regime-Switching,FF5,,
lstm_rolling_10y_Regime-Switching_FF6,0.02409138782623233,2.0487924657890626,0.04048241281480451,**,0.953164374755517,370,1.0866274099951634,0.6844600213910028,-0.0797300920273812,0.2302128588140715,0.05180963763564575,lstm_rolling_10y,Regime-Switching,FF6,-0.12264636648260346,
lstm_rolling_10y_Regime-Switching_FF7,0.022391176217379724,1.7531474129543057,0.07957670686835226,*,0.9533990716080651,370,1.0885215006986135,0.6926182853624581,-0.07879438644989076,0.19258013838776827,0.0593333164245917,lstm_rolling_10y,Regime-Switching,FF7,-0.13719764340552085,0.05790591867519691
lstm_rolling_10y_Buy&Hold Offensive_FF5,0.013808696162364806,1.0387518339911073,0.29892016750049777,,0.9382531608127459,370,1.1520299238765546,0.6712256177512499,0.013457926875519336,0.12894658590124572,-0.1430355515589649,lstm_rolling_10y,Buy&Hold Offensive,FF5,,
lstm_rolling_10y_Buy&Hold Offensive_FF6,0.02825884480434901,1.9365116104630498,0.052805071936682504,*,0.9508894283991313,370,1.114708710811609,0.6750652605293329,-0.09986292259635021,0.14889779196474187,-0.056830854281150214,lstm_rolling_10y,Buy&Hold Offensive,FF6,-0.16152860482101664,
lstm_rolling_10y_Buy&Hold Offensive_FF7,0.025918108060983505,1.6575420693983598,0.0974099307902766,*,0.9512888948747789,370,1.1173163672243476,0.68629700847214,-0.09857470622681085,0.09708759904756206,-0.04647276044455041,lstm_rolling_10y,Buy&Hold Offensive,FF7,-0.18156182208587116,0.0797209657878353
lstm_rolling_10y_Buy&Hold Defensive_FF5,0.005365493353083336,0.4967202882709558,0.6193863134023374,,0.9369470378713592,370,1.073852250272925,0.6190547070133271,0.08905971741789434,0.2803782445411333,-0.03751073576744824,lstm_rolling_10y,Buy&Hold Defensive,FF5,,
lstm_rolling_10y_Buy&Hold Defensive_FF6,0.017220260129309533,1.5537335257879892,0.12024799257316363,,0.9475596942547801,370,1.0432342761847346,0.6222047140316594,-0.003907647462332659,0.2967460273679476,0.033210791502831724,lstm_rolling_10y,Buy&Hold Defensive,FF6,-0.1325165564234249,
lstm_rolling_10y_Buy&Hold Defensive_FF7,0.015689544972895052,1.3068358544441956,0.19126846525174046,,0.9477728651195731,370,1.0449395423600143,0.6295496693572871,-0.0030652236711123547,0.2628649650144671,0.03998442432257504,lstm_rolling_10y,Buy&Hold Defensive,FF7,-0.14561719637619164,0.05213319736243772
lstm_rolling_10y_Static 60/40_FF5,0.010431416788128874,0.8820241265579856,0.3777637603869477,,0.9426546706763183,370,1.1207588891731655,0.6503572733080463,0.04369864312701327,0.18951925749039022,-0.10082563011296411,lstm_rolling_10y,Static 60/40,FF5,,
lstm_rolling_10y_Static 60/40_FF6,0.023843413293659736,1.8650539863693314,0.06217383735464027,*,0.954613264041662,370,1.086118970123828,0.6539210619442761,-0.06148081729075919,0.20803709510122853,-0.020814197200005397,lstm_rolling_10y,Static 60/40,FF6,-0.14992379227908595,
lstm_rolling_10y_Static 60/40_FF7,0.02182668509557271,1.5843254520047778,0.11311967669892033,,0.9549390174623071,370,1.0883656705412912,0.6635980932696757,-0.060370917903290425,0.16339855242848048,-0.011889887374089464,lstm_rolling_10y,Static 60/40,FF7,-0.16718397938510843,0.06868586146593852
