strategy_gross,sharpe_gross,cagr_gross,max_dd_gross,calmar_gross,sortino_gross,volatility_gross,mean_ret_gross,n_obs_gross,model,strategy_name,type_gross,strategy_net,sharpe_net,cagr_net,max_dd_net,calmar_net,sortino_net,volatility_net,mean_ret_net,n_obs_net,type_net,sharpe_diff,cagr_diff_bps,cost_drag_pct
xgboost_Regime-Switching_GROSS,0.8169751262586927,0.15117787847024378,-0.47189498445553046,0.32036339323392443,1.1477327601396352,0.19753870343963098,0.16138420718357102,521,xgboost,Regime-Switching,GROSS,xgboost_Regime-Switching_NET,0.8168085677127964,0.15114039341035612,-0.4719226869505307,0.3202651569624569,1.1475105399708472,0.1975386434421142,0.1613512564178821,521,NET,0.00016655854589631147,0.3748505988765416,0.02479533399129709
xgboost_Buy&Hold Offensive_GROSS,0.7488688416084313,0.1428327766700166,-0.4718949844555305,0.3026791582343605,1.0925773982178721,0.20864973126597453,0.15625128255506085,521,xgboost,Buy&Hold Offensive,GROSS,xgboost_Buy&Hold Offensive_NET,0.7486983024401219,0.14279313544443206,-0.47191922630062605,0.30257960999764133,1.0923710541904168,0.2086506840665268,0.1562164129635788,521,NET,0.00017053916830933602,0.39641225584530204,0.02775359165362475
xgboost_Buy&Hold Defensive_GROSS,0.8767599527209573,0.1469839842037446,-0.45338842808810476,0.32418997728627935,1.221987005878487,0.17496762134928992,0.15340460342190182,521,xgboost,Buy&Hold Defensive,GROSS,xgboost_Buy&Hold Defensive_NET,0.8765848210520631,0.14694887109733012,-0.4534207568405276,0.32408942219866976,1.2217487080774396,0.1749671769332367,0.153373571482006,521,NET,0.00017513166889415732,0.35113106414463857,0.023889069686525283
xgboost_Static 60/40_GROSS,0.7977282872275382,0.1448067919421534,-0.46432640911941864,0.31186421684860705,1.147079450229897,0.19444291319957752,0.15511261211023186,521,xgboost,Static 60/40,GROSS,xgboost_Static 60/40_NET,0.7975574797687364,0.14476941039170144,-0.4643545342904389,0.31176482558293017,1.1468708933162228,0.19444324111850922,0.15507966134454296,521,NET,0.0001708074588018249,0.37381550451964785,0.025814777021576276
xgboost_Market_GROSS,0.7538662089982046,0.14717117252045386,-0.5458268382999949,0.26962978401506577,1.147644781893296,0.21345998395433907,0.1609202688764752,521,xgboost,Market,GROSS,xgboost_Market_NET,0.7537107933505341,0.14713372186305174,-0.5458624590957952,0.26954358082578955,1.1474197485115953,0.21346028149017252,0.16088731811078627,521,NET,0.00015541564767040938,0.37450657402127163,0.025447006204236275
lstm_expanding_Regime-Switching_GROSS,0.7750469455614623,0.146296397478358,-0.47189498445553035,0.31001897095209413,1.1247428430767035,0.20441975456709624,0.15843490638965174,521,lstm_expanding,Regime-Switching,GROSS,lstm_expanding_Regime-Switching_NET,0.774883911478584,0.14625893165721648,-0.47192268695053063,0.3099213826788287,1.1245392342262104,0.20442024060315084,0.1584019556239628,521,NET,0.00016303408287821064,0.3746582114150243,0.025609530916196926
lstm_expanding_Buy&Hold Offensive_GROSS,0.7488688416084313,0.1428327766700166,-0.4718949844555305,0.3026791582343605,1.0925773982178721,0.20864973126597453,0.15625128255506085,521,lstm_expanding,Buy&Hold Offensive,GROSS,lstm_expanding_Buy&Hold Offensive_NET,0.7486983024401219,0.14279313544443206,-0.47191922630062605,0.30257960999764133,1.0923710541904168,0.2086506840665268,0.1562164129635788,521,NET,0.00017053916830933602,0.39641225584530204,0.02775359165362475
lstm_expanding_Buy&Hold Defensive_GROSS,0.8767599527209573,0.1469839842037446,-0.45338842808810476,0.32418997728627935,1.221987005878487,0.17496762134928992,0.15340460342190182,521,lstm_expanding,Buy&Hold Defensive,GROSS,lstm_expanding_Buy&Hold Defensive_NET,0.8765848210520631,0.14694887109733012,-0.4534207568405276,0.32408942219866976,1.2217487080774396,0.1749671769332367,0.153373571482006,521,NET,0.00017513166889415732,0.35113106414463857,0.023889069686525283
lstm_expanding_Static 60/40_GROSS,0.7977282872275382,0.1448067919421534,-0.46432640911941864,0.31186421684860705,1.147079450229897,0.19444291319957752,0.15511261211023186,521,lstm_expanding,Static 60/40,GROSS,lstm_expanding_Static 60/40_NET,0.7975574797687364,0.14476941039170144,-0.4643545342904389,0.31176482558293017,1.1468708933162228,0.19444324111850922,0.15507966134454296,521,NET,0.0001708074588018249,0.37381550451964785,0.025814777021576276
lstm_expanding_Market_GROSS,0.7538662089982046,0.14717117252045386,-0.5458268382999949,0.26962978401506577,1.147644781893296,0.21345998395433907,0.1609202688764752,521,lstm_expanding,Market,GROSS,lstm_expanding_Market_NET,0.7537107933505341,0.14713372186305174,-0.5458624590957952,0.26954358082578955,1.1474197485115953,0.21346028149017252,0.16088731811078627,521,NET,0.00015541564767040938,0.37450657402127163,0.025447006204236275
lstm_rolling_10y_Regime-Switching_GROSS,0.7626120287360045,0.14479024836210175,-0.47189498445553046,0.3068272669377062,1.099588155501132,0.20660495595514022,0.15755942460786238,521,lstm_rolling_10y,Regime-Switching,GROSS,lstm_rolling_10y_Regime-Switching_NET,0.7624517060601198,0.1447528866786978,-0.47192268695053063,0.3067300866886943,1.0993645469792648,0.20660518245302784,0.15752647384217341,521,NET,0.0001603226758847276,0.3736168340395807,0.025804005329503485
lstm_rolling_10y_Buy&Hold Offensive_GROSS,0.7488688416084313,0.1428327766700166,-0.4718949844555305,0.3026791582343605,1.0925773982178721,0.20864973126597453,0.15625128255506085,521,lstm_rolling_10y,Buy&Hold Offensive,GROSS,lstm_rolling_10y_Buy&Hold Offensive_NET,0.7486983024401219,0.14279313544443206,-0.47191922630062605,0.30257960999764133,1.0923710541904168,0.2086506840665268,0.1562164129635788,521,NET,0.00017053916830933602,0.39641225584530204,0.02775359165362475
lstm_rolling_10y_Buy&Hold Defensive_GROSS,0.8767599527209573,0.1469839842037446,-0.45338842808810476,0.32418997728627935,1.221987005878487,0.17496762134928992,0.15340460342190182,521,lstm_rolling_10y,Buy&Hold Defensive,GROSS,lstm_rolling_10y_Buy&Hold Defensive_NET,0.8765848210520631,0.14694887109733012,-0.4534207568405276,0.32408942219866976,1.2217487080774396,0.1749671769332367,0.153373571482006,521,NET,0.00017513166889415732,0.35113106414463857,0.023889069686525283
lstm_rolling_10y_Static 60/40_GROSS,0.7977282872275382,0.1448067919421534,-0.46432640911941864,0.31186421684860705,1.147079450229897,0.19444291319957752,0.15511261211023186,521,lstm_rolling_10y,Static 60/40,GROSS,lstm_rolling_10y_Static 60/40_NET,0.7975574797687364,0.14476941039170144,-0.4643545342904389,0.31176482558293017,1.1468708933162228,0.19444324111850922,0.15507966134454296,521,NET,0.0001708074588018249,0.37381550451964785,0.025814777021576276
lstm_rolling_10y_Market_GROSS,0.7538662089982046,0.14717117252045386,-0.5458268382999949,0.26962978401506577,1.147644781893296,0.21345998395433907,0.1609202688764752,521,lstm_rolling_10y,Market,GROSS,lstm_rolling_10y_Market_NET,0.7537107933505341,0.14713372186305174,-0.5458624590957952,0.26954358082578955,1.1474197485115953,0.21346028149017252,0.16088731811078627,521,NET,0.00015541564767040938,0.37450657402127163,0.025447006204236275
